機関,職種/タイトル,勤務地,締切,タグ,対象外,URL
JST,科学の甲子園競技問題作成またはSSH支援／次世代人材育成事業 / 主任専門員,埼玉県川口市,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260501_risu.pdf
JST,IT・システム／研究人材のためのキャリア支援ポータルサイトJREC-IN Portal / 主任専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260501_jrecin.pdf
JST,知的財産／権利化支援・特許相談（バイオ分野） / 主任専門員・特許主任調査員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260415_chizai.pdf
JST,プレプリントサーバ運営／科学技術情報連携・流通促進事業 / 専門員・主任専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260409_jxiv.pdf
JST,文献データベースの品質管理・索引用語辞書／科学技術情報連携・流通促進事業（無機化学分野） / 主任専門員・専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260408_johojigyou01.pdf
JST,IT・システム／デジタル改革統制部（システム内製・業務プロセス改善支援業務） / 専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260406_dejitaru01.pdf
JST,IT・システム／デジタル改革統制部（情報システム及び情報セキュリティ統制に関する業務） / 主任専門員・専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260402_dejitaru.pdf
JST,調査・分析・発表／CRDS（システム・情報科学技術分野） / フェロー,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260402_crds01.pdf
JST,調査・分析・発表／CRDS（ナノテクノロジー・材料分野） / フェロー,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260402_crds02.pdf
JST,CRDS調査・分析・発表／環境・エネルギー分野 / フェロー,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260121_crds.pdf
JST,CRDS調査・分析・発表／国内外の科学技術・イノベーション政策担当 / フェロー,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu251128_crds.pdf
JST,広報・アウトリーチ／展示等企画・制作ディレクション / ミュージアム専門員,東京都江東区,2026年08月26日,,,https://www.miraikan.jst.go.jp/aboutus/recruitment/20251204/
JST,総務・人事労務／委嘱担当 / 専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260715_jigyoushien.pdf
JST,会計・経理／経済安全保障重要技術育成プログラム / 専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260709_k-program.pdf
